"Tabela 3416 - Índices de volume e de receita nominal de vendas no comércio varejista, por tipos de índice (2014 = 100)"
"Variável - Índice de volume de vendas no comércio varejista"
"","Mês x Tipos de índice"
"","janeiro 2000",,"fevereiro 2000",,"março 2000",,"abril 2000",,"maio 2000",,"junho 2000",,"julho 2000",,"agosto 2000",,"setembro 2000",,"outubro 2000",,"novembro 2000",,"dezembro 2000",,"janeiro 2001",,"fevereiro 2001",,"março 2001",,"abril 2001",,"maio 2001",,"junho 2001",,"julho 2001",,"agosto 2001",,"setembro 2001",,"outubro 2001",,"novembro 2001",,"dezembro 2001",,"janeiro 2002",,"fevereiro 2002",,"março 2002",,"abril 2002",,"maio 2002",,"junho 2002",,"julho 2002",,"agosto 2002",,"setembro 2002",,"outubro 2002",,"novembro 2002",,"dezembro 2002",,"janeiro 2003",,"fevereiro 2003",,"março 2003",,"abril 2003",,"maio 2003",,"junho 2003",,"julho 2003",,"agosto 2003",,"setembro 2003",,"outubro 2003",,"novembro 2003",,"dezembro 2003",,"janeiro 2004",,"fevereiro 2004",,"março 2004",,"abril 2004",,"maio 2004",,"junho 2004",,"julho 2004",,"agosto 2004",,"setembro 2004",,"outubro 2004",,"novembro 2004",,"dezembro 2004",,"janeiro 2005",,"fevereiro 2005",,"março 2005",,"abril 2005",,"maio 2005",,"junho 2005",,"julho 2005",,"agosto 2005",,"setembro 2005",,"outubro 2005",,"novembro 2005",,"dezembro 2005",,"janeiro 2006",,"fevereiro 2006",,"março 2006",,"abril 2006",,"maio 2006",,"junho 2006",,"julho 2006",,"agosto 2006",,"setembro 2006",,"outubro 2006",,"novembro 2006",,"dezembro 2006",,"janeiro 2007",,"fevereiro 2007",,"março 2007",,"abril 2007",,"maio 2007",,"junho 2007",,"julho 2007",,"agosto 2007",,"setembro 2007",,"outubro 2007",,"novembro 2007",,"dezembro 2007",,"janeiro 2008",,"fevereiro 2008",,"março 2008",,"abril 2008",,"maio 2008",,"junho 2008",,"julho 2008",,"agosto 2008",,"setembro 2008",,"outubro 2008",,"novembro 2008",,"dezembro 2008",,"janeiro 2009",,"fevereiro 2009",,"março 2009",,"abril 2009",,"maio 2009",,"junho 2009",,"julho 2009",,"agosto 2009",,"setembro 2009",,"outubro 2009",,"novembro 2009",,"dezembro 2009",,"janeiro 2010",,"fevereiro 2010",,"março 2010",,"abril 2010",,"maio 2010",,"junho 2010",,"julho 2010",,"agosto 2010",,"setembro 2010",,"outubro 2010",,"novembro 2010",,"dezembro 2010",,"janeiro 2011",,"fevereiro 2011",,"março 2011",,"abril 2011",,"maio 2011",,"junho 2011",,"julho 2011",,"agosto 2011",,"setembro 2011",,"outubro 2011",,"novembro 2011",,"dezembro 2011",,"janeiro 2012",,"fevereiro 2012",,"março 2012",,"abril 2012",,"maio 2012",,"junho 2012",,"julho 2012",,"agosto 2012",,"setembro 2012",,"outubro 2012",,"novembro 2012",,"dezembro 2012",,"janeiro 2013",,"fevereiro 2013",,"março 2013",,"abril 2013",,"maio 2013",,"junho 2013",,"julho 2013",,"agosto 2013",,"setembro 2013",,"outubro 2013",,"novembro 2013",,"dezembro 2013",,"janeiro 2014",,"fevereiro 2014",,"março 2014",,"abril 2014",,"maio 2014",,"junho 2014",,"julho 2014",,"agosto 2014",,"setembro 2014",,"outubro 2014",,"novembro 2014",,"dezembro 2014",,"janeiro 2015",,"fevereiro 2015",,"março 2015",,"abril 2015",,"maio 2015",,"junho 2015",,"julho 2015",,"agosto 2015",,"setembro 2015",,"outubro 2015",,"novembro 2015",,"dezembro 2015",,"janeiro 2016",,"fevereiro 2016",,"março 2016",,"abril 2016",,"maio 2016",,"junho 2016",,"julho 2016",,"agosto 2016",,"setembro 2016",,"outubro 2016",,"novembro 2016",,"dezembro 2016",,"janeiro 2017",,"fevereiro 2017",,"março 2017",,"abril 2017",,"maio 2017",,"junho 2017",,"julho 2017",,"agosto 2017",,"setembro 2017",,"outubro 2017",,"novembro 2017",,"dezembro 2017",,"janeiro 2018",,"fevereiro 2018",,"março 2018",,"abril 2018",,"maio 2018",,"junho 2018",,"julho 2018",,"agosto 2018",,"setembro 2018",,"outubro 2018",,"novembro 2018",,"dezembro 2018",,"janeiro 2019",,"fevereiro 2019",,"março 2019",,"abril 2019",,"maio 2019",,"junho 2019",,"julho 2019",,"agosto 2019",,"setembro 2019",,"outubro 2019",,"novembro 2019",,"dezembro 2019",,"janeiro 2020",,"fevereiro 2020",,"março 2020",,"abril 2020",,"maio 2020",,"junho 2020",,"julho 2020",,"agosto 2020",,"setembro 2020",,"outubro 2020",,"novembro 2020",,"dezembro 2020",,"janeiro 2021",,"fevereiro 2021",,"março 2021",,"abril 2021"
"","Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)",,"Índice base fixa (2014=100)"
"Brasil","46.0","Número-índice","46.5","Número-índice","48.5","Número-índice","48.5","Número-índice","50.5","Número-índice","48.1","Número-índice","49.8","Número-índice","49.7","Número-índice","48.4","Número-índice","49.4","Número-índice","50.3","Número-índice","69.3","Número-índice","46.9","Número-índice","44.2","Número-índice","49.7","Número-índice","47.6","Número-índice","49.4","Número-índice","47.5","Número-índice","47.8","Número-índice","49.1","Número-índice","47.1","Número-índice","50.0","Número-índice","49.1","Número-índice","67.4","Número-índice","46.4","Número-índice","43.5","Número-índice","49.9","Número-índice","46.6","Número-índice","50.0","Número-índice","46.6","Número-índice","48.6","Número-índice","50.2","Número-índice","46.4","Número-índice","50.3","Número-índice","49.1","Número-índice","63.9","Número-índice","44.3","Número-índice","42.8","Número-índice","44.2","Número-índice","44.9","Número-índice","46.9","Número-índice","44.0","Número-índice","46.5","Número-índice","47.3","Número-índice","45.1","Número-índice","48.8","Número-índice","49.0","Número-índice","66.0","Número-índice","47.0","Número-índice","45.0","Número-índice","49.1","Número-índice","49.5","Número-índice","51.9","Número-índice","49.7","Número-índice","52.1","Número-índice","50.5","Número-índice","49.2","Número-índice","52.9","Número-índice","52.0","Número-índice","73.5","Número-índice","49.9","Número-índice","45.9","Número-índice","52.9","Número-índice","51.1","Número-índice","53.3","Número-índice","52.3","Número-índice","54.4","Número-índice","54.0","Número-índice","51.9","Número-índice","54.9","Número-índice","54.6","Número-índice","77.2","Número-índice","53.2","Número-índice","48.8","Número-índice","54.4","Número-índice","54.9","Número-índice","57.3","Número-índice","54.3","Número-índice","55.6","Número-índice","57.4","Número-índice","57.1","Número-índice","58.7","Número-índice","59.5","Número-índice","81.6","Número-índice","57.7","Número-índice","53.2","Número-índice","60.7","Número-índice","59.2","Número-índice","63.3","Número-índice","60.6","Número-índice","60.8","Número-índice","63.3","Número-índice","61.8","Número-índice","64.3","Número-índice","65.7","Número-índice","89.3","Número-índice","64.5","Número-índice","60.0","Número-índice","67.5","Número-índice","64.3","Número-índice","70.3","Número-índice","65.5","Número-índice","67.7","Número-índice","69.6","Número-índice","67.6","Número-índice","70.7","Número-índice","69.0","Número-índice","92.7","Número-índice","68.3","Número-índice","62.3","Número-índice","68.3","Número-índice","68.9","Número-índice","72.3","Número-índice","69.2","Número-índice","71.7","Número-índice","72.8","Número-índice","71.0","Número-índice","76.7","Número-índice","74.9","Número-índice","101.2","Número-índice","75.4","Número-índice","69.9","Número-índice","79.1","Número-índice","75.2","Número-índice","79.8","Número-índice","77.1","Número-índice","79.7","Número-índice","80.5","Número-índice","79.5","Número-índice","83.4","Número-índice","82.4","Número-índice","111.6","Número-índice","81.7","Número-índice","75.9","Número-índice","82.2","Número-índice","82.9","Número-índice","84.8","Número-índice","82.5","Número-índice","85.3","Número-índice","85.7","Número-índice","83.6","Número-índice","87.0","Número-índice","87.9","Número-índice","119.0","Número-índice","88.0","Número-índice","83.9","Número-índice","92.5","Número-índice","87.8","Número-índice","91.7","Número-índice","90.2","Número-índice","91.4","Número-índice","94.2","Número-índice","90.8","Número-índice","94.9","Número-índice","95.3","Número-índice","125.1","Número-índice","93.3","Número-índice","83.7","Número-índice","96.6","Número-índice","89.3","Número-índice","95.8","Número-índice","91.7","Número-índice","97.0","Número-índice","100.0","Número-índice","94.6","Número-índice","100.0","Número-índice","102.0","Número-índice","129.9","Número-índice","99.2","Número-índice","90.9","Número-índice","95.6","Número-índice","95.3","Número-índice","100.2","Número-índice","92.6","Número-índice","96.1","Número-índice","99.1","Número-índice","95.1","Número-índice","102.2","Número-índice","103.5","Número-índice","130.3","Número-índice","99.8","Número-índice","87.9","Número-índice","95.9","Número-índice","92.1","Número-índice","95.7","Número-índice","90.1","Número-índice","92.4","Número-índice","92.2","Número-índice","89.1","Número-índice","96.4","Número-índice","95.4","Número-índice","120.9","Número-índice","89.2","Número-índice","84.2","Número-índice","90.4","Número-índice","85.8","Número-índice","87.1","Número-índice","85.7","Número-índice","87.2","Número-índice","87.1","Número-índice","84.0","Número-índice","88.6","Número-índice","91.8","Número-índice","115.0","Número-índice","88.1","Número-índice","81.1","Número-índice","87.5","Número-índice","87.3","Número-índice","89.4","Número-índice","88.2","Número-índice","89.9","Número-índice","90.2","Número-índice","89.2","Número-índice","90.9","Número-índice","97.3","Número-índice","119.5","Número-índice","90.9","Número-índice","82.3","Número-índice","94.5","Número-índice","87.9","Número-índice","91.8","Número-índice","89.6","Número-índice","89.0","Número-índice","93.9","Número-índice","89.4","Número-índice","92.7","Número-índice","101.7","Número-índice","120.3","Número-índice","92.6","Número-índice","85.6","Número-índice","90.3","Número-índice","89.5","Número-índice","92.7","Número-índice","89.7","Número-índice","92.8","Número-índice","95.2","Número-índice","91.4","Número-índice","96.6","Número-índice","104.9","Número-índice","123.5","Número-índice","93.9","Número-índice","89.6","Número-índice","89.3","Número-índice","74.2","Número-índice","85.9","Número-índice","90.2","Número-índice","97.9","Número-índice","101.1","Número-índice","98.0","Número-índice","104.7","Número-índice","108.6","Número-índice","125.1","Número-índice","93.6","Número-índice","86.1","Número-índice","91.3","Número-índice","91.8","Número-índice"
"Fonte: IBGE - Pesquisa Mensal de Comércio"

"Tabela 3416 - Índices de volume e de receita nominal de vendas no comércio varejista, por tipos de índice (2014 = 100)"
"Variável - Índice de receita nominal de vendas no comércio varejista"
"","Mês x Tipos de índice"
